2026-07-21 22:36:28,563 | INFO | rlopt.IPMD | iter=68/33909 | frames=10027008/5000085504 | r_step=0.0232 | ep_len=9.2800 | r_ep=0.2097 | pi_loss=-0.0104 | fps=92662.8559
2026-07-21 22:38:16,978 | INFO | rlopt.IPMD | iter=136/33909 | frames=20054016/5000085504 | r_step=0.0337 | ep_len=46.8300 | r_ep=1.5766 | pi_loss=-0.0045 | fps=94051.3662
2026-07-21 22:40:04,626 | INFO | rlopt.IPMD | iter=204/33909 | frames=30081024/5000085504 | r_step=0.0391 | ep_len=75.1600 | r_ep=2.9058 | pi_loss=-0.0050 | fps=93127.0571
2026-07-21 22:41:52,274 | INFO | rlopt.IPMD | iter=272/33909 | frames=40108032/5000085504 | r_step=0.0431 | ep_len=75.3000 | r_ep=3.1396 | pi_loss=-0.0030 | fps=93429.1039
2026-07-21 22:43:40,261 | INFO | rlopt.IPMD | iter=340/33909 | frames=50135040/5000085504 | r_step=0.0447 | ep_len=110.9000 | r_ep=4.8739 | pi_loss=-0.0036 | fps=92549.9241
2026-07-21 22:45:27,229 | INFO | rlopt.IPMD | iter=407/33909 | frames=60014592/5000085504 | r_step=0.0467 | ep_len=106.1000 | r_ep=4.9964 | pi_loss=-0.0032 | fps=92098.0686
2026-07-21 22:47:17,091 | INFO | rlopt.IPMD | iter=475/33909 | frames=70041600/5000085504 | r_step=0.0473 | ep_len=122.9000 | r_ep=5.7430 | pi_loss=-0.0034 | fps=90815.7222
2026-07-21 22:49:09,933 | INFO | rlopt.IPMD | iter=543/33909 | frames=80068608/5000085504 | r_step=0.0478 | ep_len=145.9600 | r_ep=6.8949 | pi_loss=-0.0038 | fps=90117.8787
2026-07-21 22:51:01,620 | INFO | rlopt.IPMD | iter=611/33909 | frames=90095616/5000085504 | r_step=0.0486 | ep_len=135.7800 | r_ep=6.7291 | pi_loss=-0.0046 | fps=90050.8258
2026-07-21 22:52:53,659 | INFO | rlopt.IPMD | iter=679/33909 | frames=100122624/5000085504 | r_step=0.0490 | ep_len=177.1500 | r_ep=8.9420 | pi_loss=-0.0049 | fps=88737.0467
2026-07-21 22:54:44,889 | INFO | rlopt.IPMD | iter=746/33909 | frames=110002176/5000085504 | r_step=0.0499 | ep_len=195.5700 | r_ep=9.8043 | pi_loss=-0.0049 | fps=89276.5249
2026-07-21 22:56:37,946 | INFO | rlopt.IPMD | iter=814/33909 | frames=120029184/5000085504 | r_step=0.0514 | ep_len=180.7300 | r_ep=9.2998 | pi_loss=-0.0043 | fps=88570.4318
2026-07-21 22:58:31,205 | INFO | rlopt.IPMD | iter=882/33909 | frames=130056192/5000085504 | r_step=0.0516 | ep_len=186.0800 | r_ep=9.5888 | pi_loss=-0.0056 | fps=88411.7285
2026-07-21 23:00:24,568 | INFO | rlopt.IPMD | iter=950/33909 | frames=140083200/5000085504 | r_step=0.0527 | ep_len=197.0100 | r_ep=10.3866 | pi_loss=-0.0048 | fps=88948.5603
2026-07-21 23:02:19,311 | INFO | rlopt.IPMD | iter=1018/33909 | frames=150110208/5000085504 | r_step=0.0534 | ep_len=202.7800 | r_ep=10.7406 | pi_loss=-0.0046 | fps=89600.7826
2026-07-21 23:04:12,280 | INFO | rlopt.IPMD | iter=1086/33909 | frames=160137216/5000085504 | r_step=0.0535 | ep_len=189.7100 | r_ep=10.0072 | pi_loss=-0.0048 | fps=88235.0962
2026-07-21 23:06:04,138 | INFO | rlopt.IPMD | iter=1153/33909 | frames=170016768/5000085504 | r_step=0.0539 | ep_len=219.3700 | r_ep=11.5907 | pi_loss=-0.0061 | fps=89358.7721
2026-07-21 23:07:56,471 | INFO | rlopt.IPMD | iter=1221/33909 | frames=180043776/5000085504 | r_step=0.0541 | ep_len=199.1800 | r_ep=10.7436 | pi_loss=-0.0050 | fps=89810.4165
2026-07-21 23:09:49,009 | INFO | rlopt.IPMD | iter=1289/33909 | frames=190070784/5000085504 | r_step=0.0547 | ep_len=194.4300 | r_ep=10.2632 | pi_loss=-0.0046 | fps=89023.7633
2026-07-21 23:11:42,750 | INFO | rlopt.IPMD | iter=1357/33909 | frames=200097792/5000085504 | r_step=0.0543 | ep_len=218.9400 | r_ep=11.7438 | pi_loss=-0.0057 | fps=87871.0379
2026-07-21 23:13:38,719 | INFO | rlopt.IPMD | iter=1425/33909 | frames=210124800/5000085504 | r_step=0.0544 | ep_len=211.1800 | r_ep=11.4364 | pi_loss=-0.0058 | fps=87957.3823
2026-07-21 23:15:31,422 | INFO | rlopt.IPMD | iter=1492/33909 | frames=220004352/5000085504 | r_step=0.0542 | ep_len=214.1900 | r_ep=11.5964 | pi_loss=-0.0050 | fps=87322.7262
2026-07-21 23:17:26,238 | INFO | rlopt.IPMD | iter=1560/33909 | frames=230031360/5000085504 | r_step=0.0541 | ep_len=242.5400 | r_ep=13.1207 | pi_loss=-0.0047 | fps=87236.6884
2026-07-21 23:19:21,317 | INFO | rlopt.IPMD | iter=1628/33909 | frames=240058368/5000085504 | r_step=0.0541 | ep_len=218.7300 | r_ep=12.1167 | pi_loss=-0.0053 | fps=87845.8302
2026-07-21 23:21:15,761 | INFO | rlopt.IPMD | iter=1696/33909 | frames=250085376/5000085504 | r_step=0.0539 | ep_len=238.6700 | r_ep=12.9958 | pi_loss=-0.0065 | fps=87115.6329
2026-07-21 23:23:10,159 | INFO | rlopt.IPMD | iter=1764/33909 | frames=260112384/5000085504 | r_step=0.0537 | ep_len=243.3200 | r_ep=13.1610 | pi_loss=-0.0059 | fps=87715.9838
2026-07-21 23:25:06,007 | INFO | rlopt.IPMD | iter=1832/33909 | frames=270139392/5000085504 | r_step=0.0541 | ep_len=263.2500 | r_ep=14.1369 | pi_loss=-0.0057 | fps=88252.7455
2026-07-21 23:26:57,666 | INFO | rlopt.IPMD | iter=1899/33909 | frames=280018944/5000085504 | r_step=0.0538 | ep_len=237.5100 | r_ep=12.8364 | pi_loss=-0.0062 | fps=88639.3043
2026-07-21 23:28:50,792 | INFO | rlopt.IPMD | iter=1967/33909 | frames=290045952/5000085504 | r_step=0.0534 | ep_len=239.9300 | r_ep=13.1915 | pi_loss=-0.0058 | fps=88865.7901
2026-07-21 23:30:43,846 | INFO | rlopt.IPMD | iter=2035/33909 | frames=300072960/5000085504 | r_step=0.0535 | ep_len=250.4500 | r_ep=13.3472 | pi_loss=-0.0057 | fps=88674.2594
2026-07-21 23:32:36,855 | INFO | rlopt.IPMD | iter=2103/33909 | frames=310099968/5000085504 | r_step=0.0539 | ep_len=261.1200 | r_ep=14.1406 | pi_loss=-0.0058 | fps=89173.8744
2026-07-21 23:34:29,858 | INFO | rlopt.IPMD | iter=2171/33909 | frames=320126976/5000085504 | r_step=0.0536 | ep_len=295.4700 | r_ep=16.0428 | pi_loss=-0.0059 | fps=88520.3330
2026-07-21 23:36:21,741 | INFO | rlopt.IPMD | iter=2238/33909 | frames=330006528/5000085504 | r_step=0.0542 | ep_len=282.9800 | r_ep=14.8443 | pi_loss=-0.0064 | fps=88543.5690
2026-07-21 23:38:17,202 | INFO | rlopt.IPMD | iter=2306/33909 | frames=340033536/5000085504 | r_step=0.0543 | ep_len=265.9800 | r_ep=14.5737 | pi_loss=-0.0071 | fps=88312.2372
2026-07-21 23:40:10,942 | INFO | rlopt.IPMD | iter=2374/33909 | frames=350060544/5000085504 | r_step=0.0546 | ep_len=293.7500 | r_ep=15.5941 | pi_loss=-0.0062 | fps=88361.7993
2026-07-21 23:42:04,660 | INFO | rlopt.IPMD | iter=2442/33909 | frames=360087552/5000085504 | r_step=0.0545 | ep_len=251.5900 | r_ep=13.1245 | pi_loss=-0.0060 | fps=88681.0845
2026-07-21 23:43:58,024 | INFO | rlopt.IPMD | iter=2510/33909 | frames=370114560/5000085504 | r_step=0.0547 | ep_len=275.0300 | r_ep=14.9243 | pi_loss=-0.0063 | fps=89000.6011
