2026-07-21 22:36:14,497 | INFO | rlopt.IPMD | iter=68/33909 | frames=10027008/5000085504 | r_step=0.0240 | ep_len=10.8300 | r_ep=0.2597 | pi_loss=-0.0089 | fps=94139.4448
2026-07-21 22:37:58,694 | INFO | rlopt.IPMD | iter=136/33909 | frames=20054016/5000085504 | r_step=0.0352 | ep_len=53.2700 | r_ep=1.8295 | pi_loss=-0.0046 | fps=96977.5598
2026-07-21 22:39:44,981 | INFO | rlopt.IPMD | iter=204/33909 | frames=30081024/5000085504 | r_step=0.0407 | ep_len=80.9200 | r_ep=3.1996 | pi_loss=-0.0053 | fps=95485.4120
2026-07-21 22:41:30,954 | INFO | rlopt.IPMD | iter=272/33909 | frames=40108032/5000085504 | r_step=0.0440 | ep_len=112.9300 | r_ep=4.7960 | pi_loss=-0.0051 | fps=94092.6889
2026-07-21 22:43:18,681 | INFO | rlopt.IPMD | iter=340/33909 | frames=50135040/5000085504 | r_step=0.0464 | ep_len=158.4800 | r_ep=7.3286 | pi_loss=-0.0055 | fps=90235.9903
2026-07-21 22:45:06,277 | INFO | rlopt.IPMD | iter=407/33909 | frames=60014592/5000085504 | r_step=0.0490 | ep_len=169.3800 | r_ep=7.9892 | pi_loss=-0.0054 | fps=92691.2707
2026-07-21 22:46:55,131 | INFO | rlopt.IPMD | iter=475/33909 | frames=70041600/5000085504 | r_step=0.0499 | ep_len=209.6900 | r_ep=10.3424 | pi_loss=-0.0058 | fps=92067.5484
2026-07-21 22:48:44,458 | INFO | rlopt.IPMD | iter=543/33909 | frames=80068608/5000085504 | r_step=0.0510 | ep_len=220.2700 | r_ep=11.1695 | pi_loss=-0.0074 | fps=92236.8731
2026-07-21 22:50:35,473 | INFO | rlopt.IPMD | iter=611/33909 | frames=90095616/5000085504 | r_step=0.0518 | ep_len=205.1600 | r_ep=10.5020 | pi_loss=-0.0060 | fps=92401.7710
2026-07-21 22:52:24,081 | INFO | rlopt.IPMD | iter=679/33909 | frames=100122624/5000085504 | r_step=0.0520 | ep_len=238.4400 | r_ep=12.7483 | pi_loss=-0.0068 | fps=92603.5316
2026-07-21 22:54:11,576 | INFO | rlopt.IPMD | iter=746/33909 | frames=110002176/5000085504 | r_step=0.0529 | ep_len=265.0300 | r_ep=13.8801 | pi_loss=-0.0073 | fps=91940.9473
2026-07-21 22:56:00,967 | INFO | rlopt.IPMD | iter=814/33909 | frames=120029184/5000085504 | r_step=0.0532 | ep_len=267.5800 | r_ep=14.4285 | pi_loss=-0.0062 | fps=92571.6766
2026-07-21 22:57:49,478 | INFO | rlopt.IPMD | iter=882/33909 | frames=130056192/5000085504 | r_step=0.0537 | ep_len=241.4200 | r_ep=12.8635 | pi_loss=-0.0067 | fps=92662.1542
2026-07-21 22:59:38,125 | INFO | rlopt.IPMD | iter=950/33909 | frames=140083200/5000085504 | r_step=0.0546 | ep_len=264.3000 | r_ep=14.2880 | pi_loss=-0.0067 | fps=92207.2972
2026-07-21 23:01:29,341 | INFO | rlopt.IPMD | iter=1018/33909 | frames=150110208/5000085504 | r_step=0.0544 | ep_len=275.7800 | r_ep=14.7766 | pi_loss=-0.0063 | fps=92023.7679
2026-07-21 23:03:18,600 | INFO | rlopt.IPMD | iter=1086/33909 | frames=160137216/5000085504 | r_step=0.0549 | ep_len=304.7700 | r_ep=16.4409 | pi_loss=-0.0067 | fps=91798.5164
2026-07-21 23:05:05,703 | INFO | rlopt.IPMD | iter=1153/33909 | frames=170016768/5000085504 | r_step=0.0554 | ep_len=266.3300 | r_ep=14.8917 | pi_loss=-0.0065 | fps=92015.1551
2026-07-21 23:06:54,548 | INFO | rlopt.IPMD | iter=1221/33909 | frames=180043776/5000085504 | r_step=0.0557 | ep_len=325.0300 | r_ep=18.0022 | pi_loss=-0.0069 | fps=91799.6841
2026-07-21 23:08:43,222 | INFO | rlopt.IPMD | iter=1289/33909 | frames=190070784/5000085504 | r_step=0.0565 | ep_len=277.2300 | r_ep=15.6775 | pi_loss=-0.0061 | fps=92082.2987
2026-07-21 23:10:32,708 | INFO | rlopt.IPMD | iter=1357/33909 | frames=200097792/5000085504 | r_step=0.0559 | ep_len=281.6500 | r_ep=15.6291 | pi_loss=-0.0064 | fps=91566.4182
2026-07-21 23:12:22,658 | INFO | rlopt.IPMD | iter=1425/33909 | frames=210124800/5000085504 | r_step=0.0564 | ep_len=316.7600 | r_ep=17.7469 | pi_loss=-0.0075 | fps=91192.0438
2026-07-21 23:14:11,862 | INFO | rlopt.IPMD | iter=1492/33909 | frames=220004352/5000085504 | r_step=0.0566 | ep_len=308.3800 | r_ep=17.5308 | pi_loss=-0.0066 | fps=92560.6049
2026-07-21 23:16:00,928 | INFO | rlopt.IPMD | iter=1560/33909 | frames=230031360/5000085504 | r_step=0.0568 | ep_len=288.6100 | r_ep=16.5510 | pi_loss=-0.0064 | fps=92086.5238
2026-07-21 23:17:50,434 | INFO | rlopt.IPMD | iter=1628/33909 | frames=240058368/5000085504 | r_step=0.0571 | ep_len=331.7900 | r_ep=19.0589 | pi_loss=-0.0066 | fps=91576.9917
2026-07-21 23:19:39,597 | INFO | rlopt.IPMD | iter=1696/33909 | frames=250085376/5000085504 | r_step=0.0577 | ep_len=317.8100 | r_ep=17.8480 | pi_loss=-0.0073 | fps=92419.7563
2026-07-21 23:21:28,618 | INFO | rlopt.IPMD | iter=1764/33909 | frames=260112384/5000085504 | r_step=0.0576 | ep_len=318.8700 | r_ep=17.6734 | pi_loss=-0.0070 | fps=91747.5718
2026-07-21 23:23:18,388 | INFO | rlopt.IPMD | iter=1832/33909 | frames=270139392/5000085504 | r_step=0.0578 | ep_len=316.9200 | r_ep=18.0875 | pi_loss=-0.0068 | fps=90486.8124
2026-07-21 23:25:09,534 | INFO | rlopt.IPMD | iter=1899/33909 | frames=280018944/5000085504 | r_step=0.0579 | ep_len=317.3200 | r_ep=18.1936 | pi_loss=-0.0071 | fps=89906.1449
