2026-07-22 19:46:13,622 | INFO | rlopt.IPMD | iter=51/23071 | frames=10027008/4535943168 | r_step=0.0191 | ep_len=6.3500 | r_ep=0.1184 | pi_loss=-0.0136 | fps=98135.1293
2026-07-22 19:47:53,947 | INFO | rlopt.IPMD | iter=102/23071 | frames=20054016/4535943168 | r_step=0.0274 | ep_len=24.7700 | r_ep=0.6761 | pi_loss=-0.0060 | fps=101791.6770
2026-07-22 19:49:32,504 | INFO | rlopt.IPMD | iter=153/23071 | frames=30081024/4535943168 | r_step=0.0344 | ep_len=48.7700 | r_ep=1.6460 | pi_loss=-0.0041 | fps=102057.9417
2026-07-22 19:51:11,879 | INFO | rlopt.IPMD | iter=204/23071 | frames=40108032/4535943168 | r_step=0.0384 | ep_len=70.1800 | r_ep=2.5796 | pi_loss=-0.0051 | fps=100522.7747
2026-07-22 19:52:51,409 | INFO | rlopt.IPMD | iter=255/23071 | frames=50135040/4535943168 | r_step=0.0417 | ep_len=88.7400 | r_ep=3.6045 | pi_loss=-0.0048 | fps=99759.1066
2026-07-22 19:54:33,372 | INFO | rlopt.IPMD | iter=306/23071 | frames=60162048/4535943168 | r_step=0.0447 | ep_len=122.0200 | r_ep=5.2338 | pi_loss=-0.0049 | fps=99746.8244
2026-07-22 19:56:14,535 | INFO | rlopt.IPMD | iter=357/23071 | frames=70189056/4535943168 | r_step=0.0465 | ep_len=151.7700 | r_ep=7.1059 | pi_loss=-0.0051 | fps=98259.2907
2026-07-22 19:57:54,285 | INFO | rlopt.IPMD | iter=407/23071 | frames=80019456/4535943168 | r_step=0.0479 | ep_len=158.5900 | r_ep=7.6040 | pi_loss=-0.0054 | fps=98429.3874
2026-07-22 19:59:36,740 | INFO | rlopt.IPMD | iter=458/23071 | frames=90046464/4535943168 | r_step=0.0489 | ep_len=173.1700 | r_ep=8.5194 | pi_loss=-0.0062 | fps=97646.5048
2026-07-22 20:01:20,160 | INFO | rlopt.IPMD | iter=509/23071 | frames=100073472/4535943168 | r_step=0.0496 | ep_len=172.8900 | r_ep=8.5429 | pi_loss=-0.0060 | fps=97214.6982
2026-07-22 20:03:03,060 | INFO | rlopt.IPMD | iter=560/23071 | frames=110100480/4535943168 | r_step=0.0500 | ep_len=184.9000 | r_ep=9.3940 | pi_loss=-0.0062 | fps=97028.7353
2026-07-22 20:04:47,376 | INFO | rlopt.IPMD | iter=611/23071 | frames=120127488/4535943168 | r_step=0.0502 | ep_len=180.1900 | r_ep=9.0012 | pi_loss=-0.0067 | fps=97079.9400
2026-07-22 20:06:30,732 | INFO | rlopt.IPMD | iter=662/23071 | frames=130154496/4535943168 | r_step=0.0508 | ep_len=174.5800 | r_ep=8.9168 | pi_loss=-0.0063 | fps=97634.9878
2026-07-22 20:08:13,558 | INFO | rlopt.IPMD | iter=713/23071 | frames=140181504/4535943168 | r_step=0.0510 | ep_len=217.0800 | r_ep=10.8903 | pi_loss=-0.0057 | fps=97988.1089
